dev_id,dev_name
005ca4d8-7e12-4a5a-bc3e-0fc164238624,Claws Up Games
005cf13a-d26a-4ec2-9958-deac9f89384e,TheBigYellowSkip
005e9911-1f33-43c8-94cd-3a69ed17a890,PolygonGame
00617396-5189-4a4b-94c1-e7f6fa2f8bf1,"Eek! Games, LLC"
0061e4d6-4ce6-4cb0-b369-d6578cc57a70,Michelle Lee
0061f975-5e2d-43f4-82eb-3f759cda167e,Shanbo Studio
006458af-4fb2-4d1c-ad09-a5231f4398aa,Aldora Games
0067cc44-e0d1-40e1-8065-42e93fe75e59,Keirdan Jenson
006ee6ba-ed0f-492a-bbac-bcb3306b9977,Wadjet Eye Games
006eec80-b65d-4317-a91a-123acbf9e8e9,Black Mastiff Studio
006ef7cc-ff0f-4706-8d1c-08e228a2542e,Nodacoy Games
0070917e-a5ea-46d4-b9f9-43d5a2bcb43e,ImperiumGame
0070facf-ebf0-4aff-981d-d121aa7ee72f,UNB Studios
00718ce2-c30e-4f44-a339-2eb83e08bd04,War Industries Games
0071d784-396d-4cbd-b54a-a0d4c330a9a8,SmartOliveGames LTD
007286d5-3a28-4ec1-b00b-3e22839def1a,Atomic PiÃ±ata
0072bbab-93c0-4c20-ac8f-d74a59987eda,EcrosoGames
00736c1b-cc24-45db-a281-2fa5ccd91e12,Patrick Scott
0075d37d-0900-4fa1-ace0-9b20192d1113,Twenty Dolz Production
0077c46b-e31d-44c8-8f00-03d6fecc202f,RedOrb Studios
00797dd8-eaf5-4179-80a3-90419b2c16dd,Trash Game Studio
007b25cd-5fd9-4a17-95be-c41a86a13cea,Cameron James Low
007b2d16-7b84-4d36-b913-23006554a685,Icehole Games
007cb335-8c71-4f46-b901-13cb5eaa1fc9,Bernard van Wyk
007d929a-9051-4c3c-aa2c-27ab3304d495,Moolion
007dba17-d90a-4811-8ab1-621f7638fc45,Aaron Bales
007fe767-4c4f-4258-97ec-7c3933c021ce,Chiham
00806bc0-9be7-4a83-93a1-5f67dadf6d11,Reply Game Studios
0083c6cd-528e-416b-ba7a-6d31811cc6c1,SolarLance
00849b2d-c8c7-4516-9650-40d28f0e2bc5,Not a Sailor Studios
0085c9c2-87c3-4d37-85f6-71013250cbb7,Sindie Games
00865c02-d4b6-4bbf-bfbe-792ec2aebdba,CSF Games Studio
00874a3c-6a73-47a7-b19d-107651e4f977,David Montesi Rivas
008752eb-8784-40a5-bdf5-f0faf6056757,IndependentArt
0087c209-f6d3-4dfe-b868-bfe54164fd5e,Lost the Game Studios
0089bb57-b7d3-4522-a3b4-31d10aa308dd,Dezlooca
008a3e0b-3522-4ba7-ba6c-84f5fe36c86b,WarGirl Games
008b6793-21a5-405d-b14d-a9dbe4978632,Steve 'Elipsis' Barrios
008c76a1-02b3-4675-aa5e-e7ed737c8123,xproject
008c8387-4233-428d-a836-23ed2cff727d,QuackenPower
008df09c-a55f-406c-9bba-2a21630df1f2,Redeyevisuals
008ee0ea-e7e8-4289-98a5-a14a43392d47,Attyc Games
00906186-22d1-434a-b718-f78d81599935,Scythe Dev Team
0093462a-6181-49c3-a752-d04f171a82e9,Surrealscape Studios
00957627-cb16-4400-9110-5290a85bbb24,Patrick Rainville
0095dada-a973-46fb-b3d5-7ff63fb234de,Un Pas Fragile Team
0097df68-852c-4729-95e2-fb899d6619f2,BITTRON STUDIOS
009b7dad-c1e7-4919-b6ea-3608f52fdbf1,Devin Rataiczak
009c0fea-aee7-42d7-814c-5f196c89ae55,Andrew Rybis
009dfeb2-c5ac-4b60-bd30-b466c74f7956,Kerlys Games
009f4349-8152-4f17-b5fd-250ffb219b8d,Monster Guide inc.
009fd35e-5bf2-4e24-a234-95e23dd005eb,LokkinSOY
00a0946f-7ab0-4685-ba12-6fba267a94a7,RealMadProductions
00a159d4-9285-4359-8d50-abf99220b986,virusek20
00a23094-ddd7-49af-80d6-baedcc46b0ae,DreamTree Studio Sdn. Bhd.
00a2e101-582d-4d35-9c00-38e6c26c04a8,Annonymous
00a37e93-19d2-4f44-a3b5-22df6cb7fb12,battyRabbit
00a408e3-55b3-4736-a6a7-ef9c8a94cbc3,Rocco Gough
00a4f867-0dc3-41f3-ad09-32f923fa0a15,ToastieLabs
00a6d4b7-21cf-46e9-b9f3-01d178a3ee49,Team Shifty
00a85481-fb37-405e-8809-333119405a25,LP  Games
00a9bd45-22b2-4bc5-9ff9-f89e332d9f9f,OSome Studio
00aa3313-82e8-40fe-9b66-cd6029c8aa71,Little Games Company
00aabeb2-1b16-4d7d-ba77-79ec025638ed,Maxim Games
00ab460f-b2e0-48f7-8627-b1a9a0dae716,Daniel Wiseman
00abfdd8-f3b4-4008-b611-33e2a329eb71,Harry Lane
00aee8ab-3edf-4dd1-8ffb-465a51986025,Lubiii
00af6213-6ed1-4e4b-87d3-c463d5efc311,HBunny
00afc402-bb23-44b4-af55-1853658befe7,Super Alex
00b005eb-f1d8-4ff9-91ca-2d216f36da81,Ripknot Systems
00b1ccf6-39ce-428d-8b94-6a5fae5585f8,Skew Back Studios
00b3262b-c3c7-48a9-80f3-9cf668ca8894,Sasha-Toi
00b45355-6021-41b0-83fe-2996603e8553,Andrew Brenes
00b477fd-026a-4bb1-a79d-6250e98760e2,OnurAkin
00b70308-bc8a-4e3c-8a05-2e3790a3a2d9,Agar3s
00b75563-4f12-41cb-8f1a-76fd175121bb,_Jester_
00b7728d-c01e-4a28-b5ce-172843f8d1a1,The Snarktopus
00b93408-bd6b-4fc7-b784-42aa500f0dbe,GameX Limited
00b94314-0a3d-4772-8df3-f13cd763da07,Bernackels
00bb3f86-68fe-4a08-b7c7-c9b2dee9fedc,Aleksandr Soldatov
00bbf21d-5dc2-4d0d-9eea-d9cb26b67238,College Novel Games
00bc9120-1cfa-4b6d-8ad7-ff0755e0ced4,MagroPlay
00bcd385-d50e-4078-aaad-7288991b92c7,GameComeLife
00bcfde6-8223-440e-afda-465815385fa7,Ethereal Darkness Interactive
00bd41f7-acfe-433e-956b-da10d05570f5,Roman Ohlendorf
00bf52d0-b8ec-4acc-abe9-a4b38a8c53f3,OneCoin
00bf90c1-afd8-4025-80ac-0d1a0ac84dda,Grayfax Software
00c1dbfe-01de-4b9c-9fc7-4a0e90d7ebc2,False Crow Studios Ltd
00c435d9-4246-4a14-9dff-47a1bf95bf24,åˆ›å�¯è´´Studio
00c5265b-28af-4a92-9bc0-b87db1a0550c,1scGames
00c53235-14d4-4ed1-9fd6-8c6d41591208,Take A Nuke
00c6a227-3830-4fad-8302-c0c76605e1ca,CryptidTech
00c6c048-c8b7-483f-b19c-557e5723b013,Lustful Fantasy
00c76c2b-ab07-428a-a1f1-62c10632dc4d,Essencey
00c82b0c-797c-4a43-924e-96e53b0b1730,CT games
00c937a2-c99c-4732-82fc-f3a8a9c83a67,Tedia Kim
00c9633d-c4c0-4670-adce-9b7771eba0c1,teamkamakiri
00c9fa53-a1ea-40a6-b02b-2dfa621d3e9e,DD Gaming
00ca4129-6d6d-4c90-8280-e08b1429670b,OC Game Studio
00ca8a72-a4df-47c6-9ab3-3c8e723e1f10,Fantasy Creations
00cb3c2f-894e-420e-b024-d8f8fb9854bb,Remillepattes
00cb7e5b-287e-4ca5-a388-476558501e2c,Michael Pogson
00cb92eb-d6ef-4a4c-9a5a-b22a99ba734a,æ”»åŸŽä¸‰å›½å¿—
00cb9cbf-d8fa-45f8-b53f-ec463526791d,Piotr Rochala
00cd0644-a98c-46dd-8c27-f8e423600d68,House Izezweth
00cf3ffe-570f-425b-94e6-fc549c67a851,Ursa Masnec
00cf6147-2a45-4d70-bc9a-ab40e19a6daa,Fat Gem
00cfdbd4-d001-4b6b-ae72-47984e93a29a,GAO
00d2eb02-ebb9-4825-b674-67b70f2b218e,Captain Bear Games
00d34e40-562a-46f9-94fb-89991c5ddc53,Percephoenix
00d49377-689f-4887-a258-2a1a5c8deb86,Storm Lee
00d7b93c-c345-4a1a-b886-f653e07a9d50,uninhabited
00d81e78-42db-490c-a7e2-0da373f64a83,Candy Valley Network
00d92f9e-829e-4e50-a8ac-4fca9baefb79,Anta
00d9d8ac-9f3f-46c5-aae9-a815ebb025ae,Cleversan Software
00d9f077-39ce-4319-9fe7-2a573591ed3b,LoverGame Studio
00db0d8d-d290-49ca-b429-00db1b8ff808,Jaemoon Choi
